window_id,case_id,label,failure_reason
1,1,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
2,3,FAIL,"negative_values,spikes,saturation"
3,4,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
4,7,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
5,10,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
6,13,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
7,14,FAIL,"negative_values,spikes,saturation"
8,16,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation"
9,17,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
10,19,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
11,20,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
12,22,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
13,24,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
14,25,FAIL,"extended_flatline,PP_violation,MAP_violation"
15,26,FAIL,"extended_flatline,PP_violation,MAP_violation"
16,27,FAIL,"extended_flatline,PP_violation,MAP_violation"
17,28,FAIL,"extended_flatline,PP_violation,MAP_violation"
18,29,FAIL,"extended_flatline,PP_violation,MAP_violation"
19,31,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
20,32,FAIL,"negative_values,extended_flatline,saturation"
21,34,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
22,38,FAIL,"extended_flatline,PP_violation,MAP_violation"
23,43,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
24,44,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation"
25,46,FAIL,"extended_flatline,PP_violation,MAP_violation"
26,49,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
27,50,FAIL,"negative_values,spikes,saturation"
28,51,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
29,52,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
30,53,FAIL,"negative_values,extended_flatline,saturation"
31,55,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
32,58,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
33,59,FAIL,"extended_flatline,PP_violation,MAP_violation"
34,60,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
35,61,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
36,64,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
37,65,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
38,66,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
39,67,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
40,68,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
41,69,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
42,70,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
43,74,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
44,75,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
45,77,FAIL,extended_flatline
46,79,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
47,83,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
48,84,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
49,87,PASS,none
50,89,FAIL,extended_flatline
51,91,FAIL,"negative_values,extended_flatline,saturation"
52,92,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
53,93,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
54,94,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
55,96,FAIL,"negative_values,saturation"
56,97,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
57,98,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
58,101,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,spikes,saturation"
59,103,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
60,104,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
61,105,FAIL,"negative_values,extended_flatline,saturation"
62,108,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
63,110,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
64,111,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
65,112,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
66,114,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,spikes,saturation"
67,115,FAIL,"negative_values,extended_flatline,saturation"
68,116,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
69,117,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
